description,is_genuine
"Help us launch our eco lamp, an innovative tech solution for energy saving.",1
Help me buy a gaming laptop for gaming.,0
Support my dream to travel to London in first-class.,0
Fund our book on local history preservation.,1
Emergency help for cow injured on the streets of Lakeside.,1
Emergency help for cow injured on the streets of Hilltop.,1
Support publishing a graphic novel about identity.,1
Support my poker tournament entry fees.,0
Support my dream to travel to Tokyo in first-class.,0
Let’s raise money to feed raccoons pizza.,0
Help me reach success through your money.,0
Support our campaign to build a new library for Sunrise Public School.,1
Help my mother get urgent cancer treatment in Bangalore.,1
I want to train pigeonss to dance salsa.,0
Support my dream to travel to London in first-class.,0
Support my dream to travel to Dubai in first-class.,0
Help us vaccinate and feed 100 stray dogs.,1
Help me buy a gaming laptop for gaming.,0
Help us vaccinate and feed 50 stray monkeys.,1
Contribute to a new dog park in Rivertown.,1
Fund my journey to create edible jewelss.,0
Emergency help for cow injured on the streets of Ashville.,1
Help me buy a PS5 for gaming.,0
Support local volunteers cleaning park.,1
"Help us launch our smart cane, an innovative tech solution for energy saving.",1
Support my poker tournament entry fees.,0
Help fund scholarships for orphans attending college.,1
Support our campaign to build a new library for Sunrise Public School.,1
Fund our independent film documenting refugee life.,1
Help fund scholarships for tribal children attending college.,1
Let’s raise money to feed raccoons pizza.,0
Support my dream to travel to Paris in first-class.,0
"Fund life-saving chemotherapy for Alec, a child from Hilltop.",1
Help my mother get urgent chemotherapy in Bangalore.,1
Support our dog shelter expansion project.,1
"Help us launch our smart cane, an innovative tech solution for rural education.",1
Support local volunteers cleaning playground.,1
Support publishing a graphic novel about identity.,1
Support our cow shelter expansion project.,1
Support our monkey shelter expansion project.,1
Donate and I’ll make you rich too!,0
"Fund life-saving kidney transplant for James, a child from Lakeside.",1
Help me buy a gaming laptop for gaming.,0
"No reason, just trust me and give.",0
Help me fund my cigar club for teenagers.,0
Fund my journey to create edible jewelss.,0
Support our campaign to build a new library for Hope Academy.,1
Support surgery for mother's diabetes diagnosed last week.,1
Support local volunteers cleaning park.,1
Join us in building a new playground for marginalized groups.,1
Emergency help for cat injured on the streets of Northwood.,1
Support my poker tournament entry fees.,0
"No reason, just trust me and give.",0
Fund my journey to create edible hatss.,0
"Help us launch our eco lamp, an innovative tech solution for rural education.",1
Help my mother get urgent heart surgery in Bangalore.,1
Fund our independent film documenting rural heroes.,1
Support our campaign to build a new library for Green Valley School.,1
Help me buy a gaming laptop for gaming.,0
Fund our independent film documenting refugee life.,1
Provide laptops to underprivileged students in Lakeside.,1
Let’s raise money to feed raccoons pizza.,0
Emergency help for cat injured on the streets of Ashville.,1
Support my dream to travel to Dubai in first-class.,0
Help me reach success through your money.,0
I need funds for a Rolex to look cool.,0
Let’s raise money to feed raccoons pizza.,0
Support my dream to travel to Dubai in first-class.,0
I want to train geeses to dance salsa.,0
Help my sister get urgent cancer treatment in Chennai.,1
Support local volunteers cleaning playground.,1
Help me reach success through your money.,0
Help my mother get urgent heart surgery in Kolkata.,1
Donate and I’ll make you rich too!,0
Support surgery for friend's lung disease diagnosed last week.,1
Support publishing a graphic novel about freedom.,1
Support the rescue of abandoned cats at Twilight Haven.,1
Help me buy a PS5 for gaming.,0
Help renovate the old town hall in Ashville.,1
I want to train geeses to dance salsa.,0
Help fund scholarships for orphans attending college.,1
"Help us launch our eco lamp, an innovative tech solution for the blind.",1
Join us in building a new playground for village kids.,1
Let’s raise money to feed raccoons pizza.,0
Support publishing a graphic novel about identity.,1
I need funds for a diamond ring to look cool.,0
Support surgery for brother's tumor diagnosed last week.,1
"No reason, just trust me and give.",0
Emergency help for monkey injured on the streets of Lakeside.,1
Help my friend get urgent chemotherapy in Mumbai.,1
Support surgery for father's lung disease diagnosed last week.,1
Donate and I’ll make you rich too!,0
Support surgery for friend's tumor diagnosed last week.,1
Help me reach success through your money.,0
Support my poker tournament entry fees.,0
Help me build a museum for socks.,0
Donate and I’ll make you rich too!,0
Help me fund my cigar club for teenagers.,0
Support our campaign to build a new library for Sunrise Public School.,1
Join us in building a new playground for marginalized groups.,1
Help me reach success through your money.,0
Support my poker tournament entry fees.,0
"No reason, just trust me and give.",0
I need funds for a sports car to look cool.,0
Donate and I’ll make you rich too!,0
Provide laptops to underprivileged students in Lakeside.,1
Help us throw a community vodka-tasting event.,0
